name,bat86,hits86,hRuns86,runs86,Runbat86,walk86,years
Andy_Allanson,293,66,1,30,29,14,1
Alan_Ashby,315,81,7,24,38,39,14
Alvin_Davis,479,130,18,66,72,76,3
Andre_Dawson,496,141,20,65,78,37,11
Andres_Galarraga,321,87,10,39,42,30,2
Alfredo_Griffin,594,169,4,74,51,35,11
Al_Newman,185,37,1,23,8,21,2
Argenis_Salazar,298,73,0,24,24,7,3
Andres_Thomas,323,81,6,26,32,8,2
Andre_Thornton,401,92,17,49,66,65,13
Alan_Trammell,574,159,21,107,75,59,10
Alex_Trevino,202,53,4,31,26,27,9
Andy_Van_Slyke,418,113,13,48,61,47,4
Alan_Wiggins,239,60,0,30,11,22,6
Bill_Almon,196,43,7,29,27,30,13
Billy_Beane,183,39,3,20,15,11,3
Buddy_Bell,568,158,20,89,75,73,15
Buddy_Biancalana,190,46,2,24,8,15,5
Bruce_Bochte,407,104,6,57,43,65,12
Bruce_Bochy,127,32,8,16,22,14,8
Barry_Bonds,413,92,16,72,48,65,1
Bobby_Bonilla,426,109,3,55,43,62,1
Bob_Boone,22,10,1,4,2,1,6
Bob_Brenly,472,116,16,60,62,74,6
Bill_Buckner,629,168,18,73,102,40,18
Brett_Butler,587,163,4,92,51,70,6
Bob_Dernier,324,73,4,32,18,22,7
Bo_Diaz,474,129,10,50,56,40,10
Bill_Doran,550,152,6,92,37,81,5
Brian_Downing,513,137,20,90,95,90,14
Bobby_Grich,313,84,9,42,30,39,17
Billy_Hatcher,419,108,6,55,36,22,3
Bob_Horner,517,141,27,70,87,52,9
Brook_Jacoby,583,168,17,83,80,56,5
Bob_Kearney,204,49,6,23,25,12,7
Bill_Madlock,379,106,10,38,60,30,14
Bobby_Meacham,161,36,0,19,10,17,4
Bob_Melvin,268,60,5,24,25,15,2
Ben_Oglivie,346,98,5,31,53,30,16
Bip_Roberts,241,61,1,34,12,14,1
Billy_Jo_Robidoux,181,41,1,15,21,33,2
Bill_Russell,216,54,0,21,18,15,18
Billy_Sample,200,57,6,23,14,14,9
Bill_Schroeder,217,46,7,32,19,9,4
Butch_Wynegar,194,40,7,19,29,30,11
Chris_Bando,254,68,2,28,26,22,6
Chris_Brown,416,132,7,57,49,33,3
Carmen_Castillo,205,57,8,34,32,9,5
Cecil_Cooper,542,140,12,46,75,41,16
Chili_Davis,526,146,13,71,70,84,6
Carlton_Fisk,457,101,14,42,63,22,17
Curt_Ford,214,53,2,30,29,23,2
Cliff_Johnson,19,7,0,1,2,1,4
Carney_Lansford,591,168,19,80,72,39,9
Chet_Lemon,403,101,12,45,53,39,12
Candy_Maldonado,405,102,18,49,85,20,6
Carmelo_Martinez,244,58,9,28,25,35,4
Charlie_Moore,235,61,3,24,39,21,14
Craig_Reynolds,313,78,6,32,41,12,12
Cal_Ripken,627,177,25,98,81,70,6
Cory_Snyder,416,113,24,58,69,16,1
Chris_Speier,155,44,6,21,23,15,16
Curt_Wilkerson,236,56,0,27,15,11,4
Dave_Anderson,216,53,1,31,15,22,4
Doug_Baker,24,3,0,1,0,2,3
Don_Baylor,585,139,31,93,94,62,17
Dann_Bilardello,191,37,4,12,17,14,4
