name,batt867,league86E,team86E
Andy_Allanson,293,A,Cle.
Alan_Ashby,315,N,Atl.
Alvin_Davis,479,A,Sea.
Andre_Dawson,496,N,Mon.
Andres_Galarraga,321,N,Mon.
Alfredo_Griffin,594,A,Oak.
Al_Newman,185,N,Mon.
Argenis_Salazar,298,A,K.C.
Andres_Thomas,323,N,Atl.
Andre_Thornton,401,A,Cle.
Alan_Trammell,574,A,Det.
Alex_Trevino,202,N,L.A.
Andy_Van_Slyke,418,N,St.L.
Alan_Wiggins,239,A,Bal.
Bill_Almon,196,N,Pit.
Billy_Beane,183,A,Min.
Buddy_Bell,568,N,Cin.
Buddy_Biancalana,190,A,K.C.
Bruce_Bochte,407,A,Oak.
Bruce_Bochy,127,N,S.D.
Barry_Bonds,413,N,Pit.
Bobby_Bonilla,426,A,Chi.
Bob_Boone,22,A,Cal.
Bob_Brenly,472,N,S.F.
Bill_Buckner,629,A,Bos.
Brett_Butler,587,A,Cle.
Bob_Dernier,324,N,Chi.
Bo_Diaz,474,N,Cin.
Bill_Doran,550,N,Hou.
Brian_Downing,513,A,Cal.
Bobby_Grich,313,A,Cal.
Billy_Hatcher,419,N,Hou.
Bob_Horner,517,N,Atl.
Brook_Jacoby,583,A,Cle.
Bob_Kearney,204,A,Sea.
Bill_Madlock,379,N,L.A.
Bobby_Meacham,161,A,N.Y.
Bob_Melvin,268,N,S.F.
Ben_Oglivie,346,A,Mil.
Bip_Roberts,241,N,S.D.
Billy_Jo_Robidoux,181,A,Mil.
Bill_Russell,216,N,L.A.
Billy_Sample,200,N,Atl.
Bill_Schroeder,217,A,Mil.
Butch_Wynegar,194,A,N.Y.
Chris_Bando,254,A,Cle.
Chris_Brown,416,N,S.F.
Carmen_Castillo,205,A,Cle.
Cecil_Cooper,542,A,Mil.
Chili_Davis,526,N,S.F.
Carlton_Fisk,457,A,Chi.
Curt_Ford,214,N,St.L.
Cliff_Johnson,19,A,Tor.
Carney_Lansford,591,A,Oak.
Chet_Lemon,403,A,Det.
Candy_Maldonado,405,N,S.F.
Carmelo_Martinez,244,N,S.D.
Charlie_Moore,235,A,Mil.
Craig_Reynolds,313,N,Hou.
Cal_Ripken,627,A,Bal.
Cory_Snyder,416,A,Cle.
Chris_Speier,155,N,Chi.
Curt_Wilkerson,236,A,Tex.
Dave_Anderson,216,N,L.A.
Doug_Baker,24,A,Oak.
Don_Baylor,585,A,Bos.
Dann_Bilardello,191,N,Mon.
Daryl_Boston,199,A,Chi.
Darnell_Coles,521,A,Det.
Dave_Collins,419,A,Det.
Dave_Concepcion,311,N,Cin.
Darren_Daulton,138,N,Phi.
Doug_DeCinces,512,A,Cal.
Darrell_Evans,507,A,Det.
Dwight_Evans,529,A,Bos.
Damaso_Garcia,424,A,Tor.
Dan_Gladden,351,N,S.F.
Danny_Heep,195,N,N.Y.
Dave_Henderson,388,A,Sea.
Donnie_Hill,339,A,Oak.
Dave_Kingman,561,A,Oak.
Davey_Lopes,255,N,Chi.
Don_Mattingly,677,A,N.Y.
Darryl_Motley,227,A,K.C.
Dale_Murphy,614,N,Atl.
Dwayne_Murphy,329,A,Oak.
Dave_Parker,637,N,Cin.
Dan_Pasqua,280,A,N.Y.
Darrell_Porter,155,A,Tex.
Dick_Schofield,458,A,Cal.
Don_Slaught,314,A,Tex.
Darryl_Strawberry,475,N,N.Y.
