7,
name,bat86,hits86,hRuns86,runs86,Runbat86,num,
Joe_Carter,663,200,29,108,121,1,
Jose_Canseco,600,144,33,85,117,2,
Dave_Parker,637,174,31,89,116,3,
Don_Mattingly,677,238,31,117,113,4,
Jim_Rice,618,200,20,98,110,5,
George_Bell,641,198,31,101,108,6,
Gary_Gaetti,596,171,34,91,108,7,
Jesse_Barfield,589,170,40,107,108,8,
Jim_Presley,616,163,27,83,107,9,
Gary_Carter,490,125,24,81,105,10,
Dave_Winfield,565,148,24,90,104,11,
Bill_Buckner,629,168,18,73,102,12,
Glenn_Davis,574,152,31,91,101,13,
Wally_Joyner,593,172,22,82,100,14,
Von_Hayes,610,186,19,107,98,15,
Dwight_Evans,529,137,26,86,97,16,
Doug_DeCinces,512,131,26,69,96,17,
Danny_Tartabull,511,138,25,76,96,18,
Kevin_McReynolds,560,161,26,89,96,19,
Kirby_Puckett,680,223,31,119,96,20,
Brian_Downing,513,137,20,90,95,21,
Don_Baylor,585,139,31,93,94,22,
Dave_Kingman,561,118,35,70,94,23,
Larry_Parrish,464,128,28,67,94,24,
Darryl_Strawberry,475,123,27,76,93,25,
Kent_Hrbek,550,147,29,85,91,26,
Pete_O'Brien,551,160,23,86,90,27,
Harold_Baines,570,169,21,72,88,28,
Jim_Morrison,537,147,23,58,88,29,
Pete_Incaviglia,540,135,30,82,88,30,
