Film,RottenTomatoes,AudienceScore,NumberOfTheatres,BoxOfficeAverage,WorldwideGross,Budget,Profitability,OpeningWeekend,LeadStudio,Story,Genre
30 Minutes or Less,43,48,2888,4616,40.55,28,1.4481,13.33,Independent,Comedy,Comedy
50/50,93,93,2458,3517,36.51,8,4.5639,8.64,Independent,Discovery,Comedy
A Dangerous Method,79,89,0,0,8.97,20,0.4486,0.17,Independent,Love,Drama
A Very Harold and Kumar Christmas,72,71,2875,4506,34.04,19,1.7918,12.95,Lionsgate,Comedy,Comedy
Abduction,4,46,3118,3504,82.07,35,2.3448,10.93,Vertigo Entertainment,Maturation,Action
Albert Nobbs,53,43,245,2841,2.75,8,0.3438,0.69,Independent,,Drama
Anonymous,46,66,265,3856,14.19,30,0.473,1.02,Relativity Media,Tragedy,Drama
Another Earth,63,74,0,0,1.77,0.2,8.855,0.08,Independent,Temptation,Fantasy
Apollo 18,23,31,3328,2615,25.56,5,5.1124,8.7,Weinstein Company,Monster Force,Horror
Arthur,26,49,3276,3731,45.74,40,1.1434,12.22,Warner Bros,Sacrifice,Comedy
Arthur Christmas,92,82,3376,3537,147.41,150,0.9827,12.07,Aardman Animations,Journey and Return,Animation
Average,54,62,2690,8405,163,55,2.9626,21,,,
Bad Teacher,44,38,3049,10365,216.2,20,10.8098,31.6,Independent,Comedy,Comedy
Battle: Los Angeles,35,50,3417,10411,211.82,70,3.026,35.57,Relativity Media,Monster Force,Action
Beastly,19,50,1952,5047,28.83,17,1.6961,9.85,CBS Films,Metamorphosis,Romance
Beginners,84,80,5,28268,14.31,3.2,4.4719,0.14,Independent,Love,Comedy
Bridesmaids,90,77,2918,8995,288.38,32.5,8.8733,26.25,Relativity Media,Rivalry,Comedy
Captain America: The First Avenger,78,75,3715,17512,368.4,140,2.6315,65.06,Disney,Metamorphosis,Action
Cars 2,38,56,4115,16072,551.85,200,2.7593,66.14,Pixar,Fish Out Of Water,Animation
Cedar Rapids,86,61,15,20198,6.86,10,0.6861,0.3,20th Century Fox,Maturation,Comedy
Colombiana,28,55,2614,3982,60.97,40,1.5241,10.41,Sony,Revenge,Action
Conan the Barbarian,22,34,3015,3324,48.8,90,0.5422,10.02,Lionsgate,Quest,Action
Contagion,84,63,3222,6935,135.46,60,2.2576,22.4,Warner Bros,The Riddle,Thriller
Cowboys and Aliens,44,50,3750,9715,174.82,163,1.0725,36.43,Universal,Monster Force,Action
CrazyStupidLove,78,81,3020,6326,142.84,50,2.8568,19.1,Warner Bros,Discovery,Romance
Diary of a Wimpy Kid 2: Rodrick Rules,47,63,3167,7500,72.42,21,3.4484,23.75,20th Century Fox,Comedy,Comedy
Dolphin Tale,84,81,3507,5461,87.95,37,2.3769,19.15,Independent,Quest,Drama
Don't Be Afraid Of The Dark,59,37,2760,3089,31.55,25,1.2618,8.53,Miramax Films,Monster Force,Horror
Dream House,7,38,2661,3055,38.5,50,0.77,8.13,Morgan Creek Productions,The Riddle,Horror
Drive,93,79,2886,3929,67.01,15,4.4671,11.34,Independent,Rivalry,Thriller
Drive Angry,45,38,2290,2265,28.93,45,0.6429,5.19,Independent,Rescue,Action
Dylan Dog: Dead of Night,6,28,0,0,4.63,20,0.2317,0.75,Independent,Monster Force,Horror
Everything Must Go,74,53,218,3652,2.71,5,0.5422,0.79,Reliance Entertainment,Discovery,Drama
Extremely Loud and Incredibly Close,47,62,2630,3820,45.99,40,1.1498,10.04,Warner Bros.,,Drama
Fast Five,78,83,3644,23655,626.13,125,5.009,86.19,Universal,Escape,Action
Final Destination 5,61,56,3155,5715,157.89,40,3.9472,18.03,New Line Cinema,Monster Force,Horror
Footloose,71,71,3549,4383,62.05,24,2.5855,15.56,Spyglass Entertainment,Transformation,Drama
Friends With Benefits,71,68,2926,6364,149.54,35,4.2726,18.62,Warner Bros,Temptation,Romance
Fright Night,75,68,3114,2477,37.1,30,1.2367,7.71,DreamWorks,Rivalry,Horror
Gnomeo and Juliet,56,52,2994,8469,193.97,36,5.388,25.36,Disney,Love,Animation
Green Lantern,27,48,3816,13935,219.85,200,1.0993,53.17,Warner Bros,Metamorphosis,Action
Hall Pass,35,44,2950,4588,83.16,36,2.31,13.54,Warner Bros,Temptation,Comedy
Hanna,71,67,2535,4880,63.78,30,2.126,12.37,Universal,Quest,Action
Happy Feet 2,41,59,3606,5889,106.51,135,0.7889,21.24,Village Roadshow Pictures,Journey and Return,Animation
Harry Potter and the Deathly Hallows Part 2,96,92,4375,38672,1328.11,125,10.6249,169.19,Warner Bros,Rivalry,Fantasy
Hesher,54,68,0,0,0.38,7,0.0546,0.13,Independent,Wretched Excess,Drama
Hop,26,50,3579,10490,183.95,63,2.9199,37.54,Relativity Media,Fish Out Of Water,Animation
Horrible Bosses,69,72,3040,9310,209.64,35,5.9897,28.3,Warner Bros,Revenge,Comedy
Hugo,93,84,1277,8899,96.68,150,0.6445,11.36,Paramount,,Adventure
I Am Number Four,32,57,3154,6167,144.5,60,2.4083,19.45,Paramount,Maturation,Thriller
Immortals,36,59,3112,10349,182.49,75,2.4331,32.21,Relativity Media,Revenge,Action
In Time,38,55,3122,3860,127.39,40,3.1848,12.05,Regency Enterprises,The Riddle,Thriller
Insidious,67,65,2408,5511,97.01,1.5,64.6727,13.27,Sony,Monster Force,Horror
J.Edgar,42,84,1910,5873,73.19,35,2.0911,11.22,Warner Bros,Wretched Excess,Drama
Jack and Jill,4,59,3438,7273,124.93,79,1.5814,25,Happy Madison,Comedy,Comedy
Jane Eyre,85,77,0,0,30.15,0,0,0.18,Universal,Love,Romance
Johnny English Reborn,38,55,1552,2470,157.94,45,3.5098,3.83,Relativity Media,Comedy,Comedy
Just Go With It,19,63,3548,8601,214.95,80,2.6868,30.51,Happy Madison,Comedy,Romance
Killer Elite,25,48,2986,3132,52.96,70,0.7566,9.35,Independent,Rivalry,Action
